movie_title,gross,budget,title_year,genre,IMDB_high
The Conspirator,11.538204,25,2010,Crime,YES
Finding Forrester,51.768623,43,2000,Drama,YES
The Hebrew Hammer,0.019539,1,2003,Comedy,NO
The R.M.,1.111615,0.5,2003,Comedy,NO
Bandidas,47.23378622,32,2006,Action,NO
Spring Breakers,14.123773,5,2012,Crime,NO
Suspect Zero,8.712564,27,2004,Crime,NO
Sinbad: Legend of the Seven Seas,26.28832,60,2003,Adventure,NO
The Vow,125.01403,30,2012,Drama,NO
Cyrus,7.455447,7,2010,Comedy,NO
College,4.693919,6.5,2008,Comedy,NO
Skin Trade,0.000162,9,2014,Action,NO
"O Brother, Where Art Thou?",45.506619,26,2000,Adventure,YES
Joyeux Noel,1.050445,22,2005,Drama,YES
Four Christmases,120.136047,80,2008,Comedy,NO
Hotel Rwanda,23.4729,17.5,2004,Drama,YES
"Lovely, Still",0.12472,5,2008,Drama,YES
Dawn of the Dead,58.885635,26,2004,Action,YES
Boogeyman,46.363118,20,2005,Drama,NO
Live-In Maid,47.23378622,0.8,2004,Drama,YES
Harrison Montgomery,47.23378622,0.85,2008,Drama,YES
The Astronaut Farmer,10.99644,13,2006,Adventure,NO
The Painted Veil,8.04769,19.4,2006,Drama,YES
The Brothers Grimm,37.899638,88,2005,Action,NO
Latter Days,0.819939,0.85,2003,Comedy,YES
The Railway Man,4.435083,18,2013,Biography,YES
All Superheroes Must Die,47.23378622,0.02,2011,Other,NO
Get on Up,30.51394,30,2014,Biography,NO
Gangster Squad,45.996718,60,2013,Action,NO
Two Weeks Notice,93.307796,60,2002,Comedy,NO
Cast Away,233.630478,90,2000,Adventure,YES
Da Sweet Blood of Jesus,47.23378622,1.42,2014,Comedy,NO
Obitaemyy ostrov,47.23378622,29.5,2009,Action,NO
2 Fast 2 Furious,127.083765,76,2003,Action,NO
Inception,292.568851,160,2010,Action,YES
A Mighty Heart,9.17281,16,2007,Biography,NO
Alex & Emma,14.208384,30,2003,Comedy,NO
The Last Samurai,111.110575,140,2003,Action,YES
The Young and Prodigious T.S. Spivet,0.099462,33,2013,Action,YES
Supernova,14.218868,65,2000,Horror,NO
Cadillac Records,8.134217,12,2008,Biography,YES
The Legend of Zorro,45.356386,75,2005,Action,NO
Everything Put Together,47.23378622,0.1,2000,Drama,NO
Delgo,0.51192,40,2008,Adventure,NO
The Purge,64.42365,3,2013,Horror,NO
Indie Game: The Movie,47.23378622,0.1,2012,Documentary,YES
Mutual Appreciation,47.23378622,44.87003308,2005,Comedy,NO
The Blue Room,0.231186,44.87003308,2014,Crime,NO
Bachelorette,0.418268,3,2012,Comedy,NO
The Matrix Revolutions,139.259759,150,2003,Action,NO
Kill the Messenger,2.445646,5,2014,Biography,YES
Abandon,10.719367,25,2002,Drama,NO
Food Chains,47.23378622,0.913,2014,Documentary,YES
Chain Letter,0.143,5,2009,Horror,NO
Malevolence,47.23378622,0.2,2003,Crime,NO
Kiss the Bride,0.031937,0.5,2007,Comedy,NO
Prom,10.106233,8,2011,Comedy,NO
The Core,31.11126,60,2003,Action,NO
Hanging Up,36.037909,60,2000,Comedy,NO
Stuart Little 2,64.736114,120,2002,Adventure,NO
Stomp the Yard,61.356221,14,2007,Drama,NO
Far from Men,47.23378622,7.7,2014,Drama,YES
Redacted,0.065087,5,2007,Crime,NO
Mao's Last Dancer,4.80675,44.87003308,2009,Biography,YES
Girl with a Pearl Earring,11.634362,44.87003308,2003,Biography,YES
Body of Lies,39.380442,70,2008,Action,YES
Super Size Me,11.529368,0.065,2004,Comedy,YES
Funny Ha Ha,47.23378622,44.87003308,2002,Comedy,NO
Captain Alatriste: The Spanish Musketeer,47.23378622,24,2006,Adventure,NO
Doogal,7.382993,20,2006,Adventure,NO
Sideways,71.502303,12,2004,Adventure,YES
Hum To Mohabbat Karega,47.23378622,44.87003308,2000,Action,NO
The Proposition,1.900725,2,2005,Crime,YES
Silent House,12.55523,2,2011,Drama,NO
The Wave,47.23378622,5,2008,Drama,YES
Decoys,47.23378622,5,2004,Comedy,NO
Killers,47.000485,75,2010,Action,NO
Biutiful,5.100937,44.87003308,2010,Drama,YES
Disturbia,80.050171,20,2007,Drama,NO
"Cinco de Mayo, La Batalla",0.169379,10,2013,Drama,NO
Bridesmaids,169.076745,32.5,2011,Comedy,NO
Half Nelson,2.694973,0.7,2006,Drama,YES
The Cottage,47.23378622,2.5,2008,Comedy,NO
Mr 3000,21.800302,30,2004,Comedy,NO
Lost Souls,16.779636,28,2000,Drama,NO
The Class,3.766595,44.87003308,2008,Drama,YES
Dolphin Tale 2,42.019483,36,2014,Drama,NO
Blue Car,0.464126,1,2002,Drama,NO
The Believer,0.406035,1.5,2001,Drama,YES
Jeepers Creepers,37.470017,10,2001,Horror,NO
"Batman: The Dark Knight Returns, Part 2",47.23378622,3.5,2013,Action,YES
Red Riding: In the Year of Our Lord 1974,47.23378622,44.87003308,2009,Crime,YES
"I, Frankenstein",19.059018,65,2014,Action,NO
Vantage Point,72.266306,40,2008,Crime,NO
Johnny English,27.97241,35,2003,Action,NO
Real Women Have Curves,5.844929,3,2002,Comedy,YES
Jarhead,62.64754,70,2005,Action,YES
Repo! The Genetic Opera,0.140244,8.5,2008,Horror,NO
88 Minutes,16.930884,30,2007,Crime,NO
Snow Dogs,81.150692,35,2002,Adventure,NO
Coraline,75.280058,60,2009,Animation,YES
Waitress,19.067631,2,2007,Comedy,YES
Love Ranch,0.134904,25,2010,Comedy,NO
Jersey Boys,47.034272,40,2014,Biography,NO
Little Nicky,39.442871,80,2000,Comedy,NO
Take Shelter,1.729969,5,2011,Drama,YES
The Country Bears,16.988996,35,2002,Comedy,NO
Jeepers Creepers II,35.143332,17,2003,Horror,NO
Super,0.322157,2.5,2010,Comedy,NO
American Gangster,130.12762,100,2007,Biography,YES
Reign of Fire,43.060566,60,2002,Action,NO
Race to Witch Mountain,67.128202,65,2009,Action,NO
Hedwig and the Angry Inch,3.029081,6,2001,Comedy,YES
In the Name of the King: A Dungeon Siege Tale,4.535117,60,2007,Action,NO
The Golden Compass,70.083519,180,2007,Adventure,NO
The Christmas Candle,2.209479,44.87003308,2013,Drama,NO
Charlie and the Chocolate Factory,206.456431,150,2005,Adventure,NO
Oz the Great and Powerful,234.903076,215,2013,Adventure,NO
Les Misérables,148.77546,61,2012,Drama,YES
Shortbus,1.984378,2,2006,Comedy,NO
Easy Money,0.18887,44.87003308,2010,Action,NO
