"movie_title","gross","budget","title_year","duration","genre","rating","expensive","IMDB_high"
"Dinosaur",137.748063,127.5,2000,82,"Adventure","PG","YES","NO"
"How the Grinch Stole Christmas",260.031035,123,2000,110,"Comedy","PG","YES","NO"
"Mission: Impossible II",215.397307,125,2000,123,"Action","PG-13","YES","NO"
"The Perfect Storm",182.618434,140,2000,130,"Action","PG-13","YES","NO"
"The Patriot",113.330342,110,2000,142,"Action","R","YES","YES"
"Gone in Sixty Seconds",101.643008,90,2000,127,"Action","PG-13","YES","NO"
"Gladiator",187.670866,103,2000,171,"Action","R","YES","YES"
"The Emperor's New Groove",89.296573,100,2000,78,"Adventure","G","YES","YES"
"The Road to El Dorado",50.802661,95,2000,89,"Adventure","PG","YES","NO"
"What Lies Beneath",155.370362,100,2000,130,"Drama","PG-13","YES","NO"
"Charlie's Angels",125.305545,92,2000,94,"Action","PG-13","YES","NO"
"Hollow Man",73.20934,95,2000,119,"Action","R","YES","NO"
"Mission to Mars",60.874615,90,2000,114,"Adventure","PG","YES","NO"
"Cast Away",233.630478,90,2000,143,"Adventure","PG-13","YES","YES"
"102 Dalmatians",66.941559,85,2000,100,"Adventure","G","YES","NO"
"Nutty Professor II: The Klumps",123.307945,65,2000,109,"Comedy","PG-13","YES","NO"
"The 6th Day",34.543701,82,2000,123,"Action","PG-13","YES","NO"
"Little Nicky",39.442871,80,2000,90,"Comedy","PG-13","YES","NO"
"Thirteen Days",34.566746,80,2000,145,"Drama","PG-13","YES","YES"
"Battlefield Earth",21.471685,44,2000,119,"Action","PG-13","NO","NO"
"Red Planet",17.473245,70,2000,106,"Action","PG-13","YES","NO"
"The Adventures of Rocky & Bullwinkle",26.00061,76,2000,92,"Adventure","PG","YES","NO"
"X-Men",157.299717,75,2000,104,"Action","PG-13","YES","YES"
"Vertical Limit",68.47336,75,2000,124,"Action","PG-13","YES","NO"
"Titan A.E.",22.751979,75,2000,94,"Action","PG","YES","NO"
"Unbreakable",94.999143,75,2000,106,"Drama","PG-13","YES","YES"
"What Women Want",182.805123,70,2000,127,"Comedy","PG-13","YES","NO"
"Space Cowboys",90.454043,65,2000,130,"Action","PG-13","YES","NO"
"The Kid",69.688384,60,2000,104,"Comedy","PG","YES","NO"
"Proof of Life",32.598931,65,2000,135,"Action","R","YES","NO"
"Lucky Numbers",10.014234,65,2000,105,"Comedy","R","YES","NO"
"U-571",77.08603,62,2000,116,"Action","PG-13","YES","NO"
"The Family Man",75.764085,60,2000,125,"Comedy","PG-13","YES","NO"
"The Legend of Bagger Vance",30.695227,60,2000,126,"Drama","PG-13","YES","NO"
"Almost Famous",32.522352,60,2000,152,"Adventure","R","YES","YES"
"Supernova",14.218868,65,2000,91,"Horror","PG-13","YES","NO"
"The Flintstones in Viva Rock Vegas",35.231365,60,2000,90,"Comedy","PG","YES","NO"
"Meet the Parents",166.22504,55,2000,108,"Comedy","PG-13","YES","YES"
"Shanghai Noon",56.932305,55,2000,110,"Action","PG-13","YES","NO"
"Shaft",70.327868,46,2000,99,"Action","R","YES","NO"
"Me, Myself & Irene",90.567722,51,2000,116,"Comedy","R","YES","NO"
"Erin Brockovich",125.548685,52,2000,131,"Biography","R","YES","YES"
"The Replacements",44.737059,50,2000,118,"Comedy","PG-13","NO","NO"
"The Beach",39.778599,50,2000,119,"Adventure","R","YES","NO"
"What Planet Are You From?",6.291602,50,2000,87,"Comedy","R","YES","NO"
"Traffic",124.107476,48,2000,190,"Crime","R","YES","YES"
"Bedazzled",37.879996,48,2000,93,"Comedy","PG-13","NO","NO"
"Miss Congeniality",106.807667,45,2000,109,"Action","PG-13","NO","NO"
"Coyote Ugly",60.786269,45,2000,107,"Comedy","PG-13","NO","NO"
"All the Pretty Horses",15.527125,57,2000,220,"Drama","PG-13","YES","NO"
"Finding Forrester",51.768623,43,2000,136,"Drama","PG-13","NO","YES"
"28 Days",37.035515,43,2000,103,"Comedy","PG-13","NO","NO"
"Chicken Run",106.793915,45,2000,84,"Adventure","G","NO","YES"
"Scream 3",89.138076,40,2000,116,"Horror","R","NO","NO"
"Autumn in New York",37.752931,40,2000,103,"Drama","PG-13","NO","NO"
"Hanging Up",36.037909,60,2000,94,"Comedy","PG-13","YES","NO"
"Pay It Forward",33.508922,40,2000,123,"Drama","PG-13","NO","YES"
"The Art of War",30.199105,40,2000,116,"Action","R","NO","NO"
"Bless the Child",29.374178,40,2000,107,"Crime","R","NO","NO"
"Get Carter",14.967182,40,2000,102,"Action","R","NO","NO"
"Reindeer Games",23.360779,34,2000,124,"Action","R","NO","NO"
"Isn't She Great",2.954405,36,2000,95,"Biography","R","NO","NO"
"The Cell",61.280963,33,2000,109,"Horror","R","NO","NO"
"Wonder Boys",19.389454,55,2000,107,"Comedy","R","YES","YES"
"I Dreamed of Africa",6.543194,34,2000,114,"Adventure","PG-13","NO","NO"
"Big Momma's House",117.559438,30,2000,99,"Action","PG-13","NO","NO"
"The Watcher",28.92772,33,2000,97,"Crime","R","NO","NO"
"Men of Honor",48.814909,32,2000,129,"Biography","R","NO","YES"
"Frequency",44.983704,31,2000,118,"Crime","PG-13","NO","YES"
"Remember the Titans",115.648585,30,2000,120,"Biography","PG","NO","YES"
"Rugrats in Paris: The Movie",76.501438,30,2000,78,"Adventure","G","NO","NO"
"Keeping the Faith",37.036404,30,2000,128,"Comedy","PG-13","NO","NO"
"Dracula 2000",33.000377,28,2000,99,"Action","R","NO","NO"
"Lost Souls",16.779636,28,2000,97,"Drama","R","NO","NO"
"O Brother, Where Art Thou?",45.506619,26,2000,107,"Adventure","PG-13","NO","YES"
"Chocolat",71.30976,25,2000,121,"Drama","PG-13","NO","YES"
"Romeo Must Die",55.973336,25,2000,115,"Action","R","NO","NO"
"The Next Best Thing",14.983572,25,2000,99,"Comedy","PG-13","NO","NO"
"The Whole Nine Yards",57.262492,24,2000,98,"Comedy","R","NO","NO"
"Return to Me",32.662299,24,2000,115,"Comedy","PG","NO","NO"
"Nurse Betty",25.16727,24,2000,110,"Comedy","R","NO","NO"
"Ready to Rumble",12.37241,24,2000,107,"Comedy","PG-13","NO","NO"
"Final Destination",53.302314,23,2000,98,"Horror","R","NO","NO"
"Pitch Black",39.235088,23,2000,112,"Horror","R","NO","YES"
"The Crew",13.019253,23,2000,88,"Comedy","PG-13","NO","NO"
"The Little Vampire",13.555988,22,2000,95,"Adventure","PG","NO","NO"
"The Tigger Movie",45.542421,30,2000,77,"Animation","G","NO","NO"
"High Fidelity",27.277055,20,2000,113,"Comedy","R","NO","YES"
"Loser",15.464026,20,2000,98,"Comedy","PG-13","NO","NO"
"The Yards",0.88271,24,2000,115,"Crime","R","NO","NO"
"Thomas and the Magic Railroad",15.911333,19,2000,85,"Adventure","G","NO","NO"
"Small Time Crooks",17.07123,18,2000,94,"Comedy","PG","NO","NO"
"Center Stage",17.17487,18,2000,115,"Drama","PG-13","NO","NO"
"Road Trip",68.525609,15.6,2000,94,"Comedy","R","NO","NO"
"Boys and Girls",20.627372,16,2000,94,"Comedy","PG-13","NO","NO"
"Drowning Mona",15.427192,16,2000,96,"Comedy","PG-13","NO","NO"
"Duets",4.734235,15,2000,112,"Comedy","R","NO","NO"
"Crouching Tiger, Hidden Dragon",128.067808,15,2000,120,"Action","PG-13","NO","YES"
"The Skulls",35.00718,15,2000,106,"Action","PG-13","NO","NO"
"Where the Heart Is",33.771174,15,2000,120,"Comedy","PG-13","NO","NO"
"Love & Basketball",27.441122,15,2000,124,"Drama","PG-13","NO","YES"
"Book of Shadows: Blair Witch 2",26.421314,15,2000,90,"Adventure","R","NO","NO"
"Urban Legends: Final Cut",21.468807,14,2000,97,"Horror","R","NO","NO"
"Highlander: Endgame",12.80119,15,2000,101,"Action","R","NO","NO"
"Here on Earth",10.494147,15,2000,96,"Drama","PG-13","NO","NO"
"Whatever It Takes",8.735529,15,2000,94,"Comedy","PG-13","NO","NO"
"The In Crowd",5.217498,15,2000,105,"Drama","PG-13","NO","NO"
"Pandaemonium",47.2337862180161,15,2000,124,"Biography","PG-13","NO","NO"
"Gossip",5.10882,24,2000,90,"Drama","R","NO","NO"
"Quills",7.060876,13.5,2000,124,"Biography","R","NO","YES"
"Dude, Where's My Car?",46.729374,13,2000,83,"Comedy","PG-13","NO","NO"
"Snow Day",60.008303,13,2000,89,"Adventure","PG","NO","NO"
"The Widow of Saint-Pierre",3.05838,100,2000,112,"Drama","R","YES","YES"
"The Claim",0.403932,20,2000,115,"Drama","R","NO","NO"
"Dancer in the Dark",4.157491,12.8,2000,140,"Crime","R","NO","YES"
"Screwed",6.98268,10,2000,81,"Comedy","PG-13","NO","NO"
"Brother",0.44775,10,2000,114,"Crime","R","NO","YES"
"Snatch",30.093107,6,2000,104,"Comedy","R","NO","YES"
"The Ladies Man",13.592872,11,2000,84,"Comedy","R","NO","NO"
"Bring It On",68.35355,10,2000,98,"Comedy","PG-13","NO","NO"
"Snatch",30.093107,6,2000,104,"Comedy","R","NO","YES"
"The House of Mirth",3.041803,10,2000,135,"Drama","PG","NO","YES"
"Bamboozled",2.185266,10,2000,135,"Comedy","R","NO","NO"
"Gun Shy",1.631839,10,2000,101,"Comedy","R","NO","NO"
"Cecil B. DeMented",1.276984,10,2000,87,"Comedy","R","NO","NO"
"Next Friday",57.176582,9.5,2000,98,"Comedy","R","NO","NO"
"Down to You",20.03531,9,2000,91,"Comedy","PG-13","NO","NO"
"The Contender",17.804273,20,2000,126,"Drama","R","NO","YES"
"Boiler Room",16.938179,8,2000,120,"Crime","R","NO","YES"
"The Way of the Gun",6.047856,8.5,2000,119,"Action","R","NO","NO"
"American Psycho",15.047419,7,2000,102,"Crime","R","NO","YES"
"Shadow of the Vampire",8.279017,8,2000,92,"Drama","R","NO","NO"
"Woman on Top",5.01845,8,2000,92,"Comedy","R","NO","NO"
