TITLE,RUNTIME,YEAR,MONTH,BUDGET,GENRE,PROD_COMPANY,IMDB_GOOD,IMDB_BAD,REVENUE
Spectre,148,2015,OCTOBER,245000000,Action,Columbia Pictures,NO,NO,880674609
Avengers: Age of Ultron,141,2015,APRIL,280000000,Action,Marvel Studios,YES,NO,1405403694
Batman v Superman: Dawn of Justice,151,2016,MARCH,250000000,Action,DC Comics,NO,NO,873260194
The Hobbit: The Battle of the Five Armies,144,2014,DECEMBER,250000000,Action,WingNut Films,YES,NO,956019788
Captain America: Civil War,147,2016,APRIL,250000000,Adventure,Studio Babelsberg,YES,NO,1153304495
Jurassic World,124,2015,JUNE,150000000,Action,Universal Studios,NO,NO,1513528810
Transformers: Age of Extinction,165,2014,JUNE,210000000,Science Fiction,Paramount Pictures,NO,NO,1091405097
The Amazing Spider-Man 2,142,2014,APRIL,200000000,Action,Columbia Pictures,NO,NO,705717432
Furious 7,137,2015,APRIL,190000000,Action,Universal Pictures,YES,NO,1506249360
X-Men: Days of Future Past,131,2014,MAY,250000000,Action,Twentieth Century Fox Film Corporation,YES,NO,747862775
The Good Dinosaur,93,2015,NOVEMBER,175000000,Adventure,Walt Disney Pictures,NO,NO,331926147
Star Trek Beyond,122,2016,JULY,185000000,Action,Paramount Pictures,NO,NO,343471816
Jupiter Ascending,124,2015,FEBRUARY,176000003,Science Fiction,Village Roadshow Pictures,NO,NO,183987723
The Legend of Tarzan,109,2016,JUNE,180000000,Action,Village Roadshow Pictures,NO,NO,356743061
X-Men: Apocalypse,144,2016,MAY,178000000,Science Fiction,Twentieth Century Fox Film Corporation,NO,NO,543934787
Suicide Squad,123,2016,OCTOBER,175000000,Action,DC Comics,NO,NO,745000000
Edge of Tomorrow,113,2014,MAY,178000000,Action,Village Roadshow Pictures,YES,NO,370541256
Inside Out,94,2015,JUNE,175000000,Drama,Walt Disney Pictures,YES,NO,857611174
The Jungle Book,106,2016,APRIL,175000000,Family,Walt Disney Pictures,NO,NO,966550600
Maleficent,97,2014,MAY,180000000,Fantasy,Walt Disney Pictures,YES,NO,758539785
Dawn of the Planet of the Apes,130,2014,JUNE,170000000,Science Fiction,Ingenious Media,YES,NO,710644566
Captain America: The Winter Soldier,136,2014,MARCH,170000000,Action,Marvel Studios,YES,NO,714766572
Tomorrowland,130,2015,MAY,190000000,Adventure,Walt Disney Pictures,NO,NO,209154322
Big Hero 6,102,2014,OCTOBER,165000000,Adventure,Walt Disney Pictures,YES,NO,652105443
Independence Day: Resurgence,120,2016,JUNE,165000000,Action,Twentieth Century Fox Film Corporation,NO,YES,389681935
Guardians of the Galaxy,121,2014,JULY,170000000,Action,Marvel Studios,YES,NO,773328629
Interstellar,169,2014,NOVEMBER,165000000,Adventure,Paramount Pictures,YES,NO,675120017
Shin Godzilla,120,2016,JULY,15000000,Action,Cine Bazar,NO,NO,77000000
The Hunger Games: Mockingjay - Part 2,137,2015,NOVEMBER,160000000,Action,Studio Babelsberg,NO,NO,653428261
Alice Through the Looking Glass,113,2016,MAY,170000000,Fantasy,Walt Disney Pictures,NO,NO,299370084
Warcraft,123,2016,MAY,160000000,Action,Universal Pictures,NO,NO,433677183
Terminator Genisys,126,2015,JUNE,155000000,Science Fiction,Paramount Pictures,NO,NO,440603537
Mad Max: Fury Road,120,2015,MAY,150000000,Action,Village Roadshow Pictures,YES,NO,378858340
Mission: Impossible - Rogue Nation,131,2015,JULY,150000000,Action,Paramount Pictures,YES,NO,682330139
Pan,111,2015,SEPTEMBER,150000000,Adventure,Warner Bros.,NO,NO,128388320
Mr. Peabody & Sherman,92,2014,FEBRUARY,145000000,Animation,Pacific Data Images (PDI),NO,NO,272912430
Ghostbusters,116,2016,JULY,144000000,Action,Columbia Pictures,NO,NO,229147509
Kung Fu Panda 3,95,2016,JANUARY,145000000,Action,Twentieth Century Fox Film Corporation,NO,NO,521170825
Exodus: Gods and Kings,150,2014,DECEMBER,140000000,Adventure,Scott Free Productions,NO,NO,268031828
How to Train Your Dragon 2,102,2014,JUNE,145000000,Fantasy,DreamWorks Animation,YES,NO,609123048
Gods of Egypt,127,2016,FEBRUARY,140000000,Fantasy,Summit Entertainment,NO,NO,150680864
The BFG,120,2016,JUNE,140000000,Adventure,Walt Disney Pictures,NO,NO,183345589
The Revenant,156,2015,DECEMBER,135000000,Western,Regency Enterprises,YES,NO,532950503
Penguins of Madagascar,92,2014,NOVEMBER,132000000,Family,DreamWorks Animation,NO,NO,373552094
Ant-Man,117,2015,JULY,130000000,Science Fiction,Marvel Studios,YES,NO,519311965
Home,94,2015,MARCH,135000000,Fantasy,Twentieth Century Fox Film Corporation,NO,NO,368871007
Noah,139,2014,MARCH,125000000,Drama,Paramount Pictures,NO,NO,362637473
Night at the Museum: Secret of the Tomb,97,2014,DECEMBER,127000000,Adventure,Twentieth Century Fox Film Corporation,NO,NO,349424282
The Hunger Games: Mockingjay - Part 1,123,2014,NOVEMBER,125000000,Science Fiction,Lionsgate,NO,NO,752100229
Rio 2,102,2014,MARCH,103000000,Animation,Blue Sky Studios,NO,NO,500188435
Jason Bourne,123,2016,JULY,120000000,Action,The Kennedy/Marshall Company,NO,NO,415484914
RoboCop,102,2014,JANUARY,120000000,Action,Columbia Pictures,NO,NO,242688965
The Huntsman: Winter's War,114,2016,APRIL,115000000,Action,Universal Pictures,NO,NO,164602163
Teenage Mutant Ninja Turtles,101,2014,OCTOBER,125000000,Science Fiction,Paramount Pictures,NO,NO,477200000
Teenage Mutant Ninja Turtles: Out of the Shadows,112,2016,JUNE,135000000,Fantasy,Paramount Pictures,NO,NO,245623848
Fantastic Four,100,2015,OCTOBER,120000000,Action,Twentieth Century Fox Film Corporation,NO,YES,167977596
San Andreas,114,2015,MAY,110000000,Action,New Line Cinema,NO,NO,470490832
Insurgent,119,2015,MARCH,110000000,Adventure,Summit Entertainment,NO,NO,295238201
300: Rise of an Empire,102,2014,MARCH,110000000,Action,Legendary Pictures,NO,NO,337580051
Allegiant,121,2016,MARCH,110000000,Adventure,Summit Entertainment,NO,NO,179246868
The Martian,141,2015,SEPTEMBER,108000000,Drama,Twentieth Century Fox Film Corporation,YES,NO,630161890
Hercules,99,2014,JULY,100000000,Action,Paramount Pictures,NO,NO,243400000
The Expendables 3,127,2014,OCTOBER,90000000,Action,Davis-Films,NO,NO,206172544
Point Break,114,2015,DECEMBER,105000000,Action,Studio Babelsberg,NO,NO,133718711
In the Heart of the Sea,122,2015,NOVEMBER,100000000,Thriller,Imagine Entertainment,NO,NO,93820758
The Peanuts Movie,88,2015,NOVEMBER,99000000,Animation,Blue Sky Studios,NO,NO,246233113
Cinderella,105,2015,MARCH,95000000,Romance,Walt Disney Pictures,NO,NO,543514353
Seventh Son,102,2014,DECEMBER,95000000,Adventure,Legendary Pictures,NO,NO,114178613
Transcendence,119,2014,APRIL,100000000,Thriller,Alcon Entertainment,NO,NO,103039258
Ben-Hur,125,2016,OCTOBER,100000000,Drama,Paramount Pictures,NO,NO,94061311
Pixels,105,2015,JULY,88000000,Action,Columbia Pictures,NO,NO,243637091
Now You See Me 2,129,2016,JUNE,90000000,Action,Summit Entertainment,NO,NO,334901337
Divergent,139,2014,MARCH,85000000,Adventure,Summit Entertainment,NO,NO,288747895
Fury,135,2014,OCTOBER,68000000,War,Columbia Pictures,YES,NO,211817906
Hotel Transylvania 2,89,2015,SEPTEMBER,80000000,Animation,Columbia Pictures,NO,NO,473226958
The Last Witch Hunter,106,2015,OCTOBER,90000000,Fantasy,Summit Entertainment,NO,NO,146936910
Pompeii,105,2014,FEBRUARY,130000000,Action,Impact Pictures,NO,NO,117831631
The Little Prince,92,2015,JULY,64000000,Adventure,Onyx Films,YES,NO,97571250
The Secret Life of Pets,87,2016,JUNE,75000000,Animation,Universal Pictures,NO,NO,875958308
The Man from U.N.C.L.E.,116,2015,OCTOBER,75000000,Comedy,Davis Entertainment,YES,NO,108145109
Minions,91,2015,JUNE,74000000,Family,Universal Pictures,NO,NO,1156730962
The Angry Birds Movie,97,2016,MAY,73000000,Family,Columbia Pictures,NO,NO,349779543
